priority_rank,material_name,official_india_critical_2023,chemical_names,symbols_or_formulae,representative_ores_or_forms,use_categories,ibm_nmi2025_resource_inventory_available,ibm_nmi2025_source_minerals_json,ibm_nmi2025_state_or_ut_count,ibm_nmi2025_linked_inventory_rows,ibm_mcdr_inspection_event_rows,ibm_mcdr_latest_inspected_mine_rows,ibm_mcdr_source_minerals_json,ibm_mcdr_regional_office_count
20,Silicon,True,"[""silicon"",""silicon dioxide""]","[""Si"",""SiO2""]","[""quartz (SiO2)"",""silica sand""]","[""semiconductors"",""solar cells"",""glass"",""polymers and fillers""]",False,[],0,0,65,61,"[""FELSPAR,QUARTZ"",""Felspar, Quartz"",""Kiayanite and quartz"",""Kyanite/Sillimanite"",""Mica,Feldspar,Quartz & Vermiculite"",""Moulding Sand"",""QUARTZ"",""QUARTZ & FELDSPAR"",""QUARTZ & FELSPAR"",""QUARTZ,GEM STONE CATS EYE"",""Qaurtz"",""Quartz, Kynite, Vermiculite, Mica"",""Siliceous Earth"",""Vermiculite,Mica,Feldspar & Quartz"",""Wollastonite""]",7
21,Strontium,True,"[""strontium""]","[""Sr""]","[""celestite (SrSO4)"",""strontianite (SrCO3)""]","[""ceramics"",""magnets"",""pyrotechnics""]",False,[],0,0,0,0,[],0
22,Tantalum,True,"[""tantalum""]","[""Ta""]","[""tantalite ((Fe,Mn)Ta2O6)""]","[""capacitors"",""superalloys"",""medical devices""]",False,[],0,0,0,0,[],0
23,Tellurium,True,"[""tellurium""]","[""Te""]","[""copper-refining by-product""]","[""thin-film solar cells"",""thermoelectrics"",""alloys""]",False,[],0,0,0,0,[],0
24,Tin,True,"[""tin""]","[""Sn""]","[""cassiterite (SnO2)""]","[""solder"",""tinplate"",""chemicals""]",True,"[""Tin""]",5,12,7,1,"[""Tin"",""Tin Ore""]",1
25,Titanium,True,"[""titanium"",""titanium dioxide""]","[""Ti"",""TiO2""]","[""ilmenite (FeTiO3)"",""rutile (TiO2)""]","[""aerospace alloys"",""pigments"",""polymers""]",True,"[""Titanium""]",11,18,0,0,[],0
26,Tungsten,True,"[""tungsten""]","[""W""]","[""wolframite ((Fe,Mn)WO4)"",""scheelite (CaWO4)""]","[""cutting tools"",""electronics"",""alloys""]",True,"[""Tungsten""]",8,18,0,0,[],0
27,Vanadium,True,"[""vanadium""]","[""V""]","[""vanadiferous magnetite"",""vanadinite (Pb5(VO4)3Cl)""]","[""flow batteries"",""steel alloys"",""catalysts""]",True,"[""Vanadium""]",12,26,0,0,[],0
28,Zirconium,True,"[""zirconium""]","[""Zr""]","[""zircon (ZrSiO4)""]","[""nuclear cladding"",""ceramics"",""foundry""]",True,"[""Zircon""]",4,6,0,0,[],0
29,Selenium,True,"[""selenium""]","[""Se""]","[""copper-refining by-product""]","[""solar cells"",""glass"",""electronics""]",False,[],0,0,0,0,[],0
30,Cadmium,True,"[""cadmium""]","[""Cd""]","[""zinc-processing by-product"",""greenockite (CdS)""]","[""nickel-cadmium batteries"",""coatings"",""solar cells""]",False,[],0,0,0,0,[],0
31,Aluminium,False,"[""aluminium""]","[""Al""]","[""bauxite"",""gibbsite (Al(OH)3)"",""boehmite (AlO(OH))""]","[""transport"",""electrical systems"",""packaging""]",True,"[""Bauxite""]",17,31,152,142,"[""Aluminous Laterite"",""BAUXITE"",""Bauxite"",""Kyanite/Sillimanite""]",8
32,Iron,False,"[""iron""]","[""Fe""]","[""hematite (Fe2O3)"",""magnetite (Fe3O4)""]","[""steel"",""infrastructure"",""machinery""]",True,"[""Iron ore (Hematite)"",""Iron ore (Magnetite)""]",17,58,234,218,"[""IRON"",""IRON ORE"",""Iron"",""Iron & Dolomite"",""Iron & Mn"",""Iron & Mn Ore"",""Iron & Mn."",""Iron & Mn. Ore"",""Iron Ore"",""Iron Ore & Mn-Ore"",""Iron and Manganese"",""Iron and Mn"",""Iron and Mn-ore"",""Iron ore"",""Iron& Mn Ore"",""MANGANESE & IRON ORE"",""MANGANESE ORE and Iron Ore"",""Manganese and Iron"",""Mn & Fe"",""Mn-ore & Iron ore"",""Mn. & Iron Ore""]",9
33,Manganese,False,"[""manganese""]","[""Mn""]","[""pyrolusite (MnO2)"",""braunite""]","[""battery cathodes"",""steel alloys""]",True,"[""Manganese Ore""]",11,25,124,116,"[""Iron & Mn"",""Iron & Mn Ore"",""Iron & Mn."",""Iron & Mn. Ore"",""Iron Ore & Mn-Ore"",""Iron and Manganese"",""Iron and Mn"",""Iron and Mn-ore"",""Iron& Mn Ore"",""Ironn Ore & Manganese"",""MANGANESE"",""MANGANESE & IRON ORE"",""MANGANESE ORE"",""MANGANESE ORE and Iron Ore"",""Manganese"",""Manganese Ore"",""Manganese and Iron"",""Mn & Fe"",""Mn-ore & Iron ore"",""Mn. & Iron Ore""]",8
34,Chromium,False,"[""chromium""]","[""Cr""]","[""chromite (FeCr2O4)""]","[""stainless steel"",""superalloys"",""refractories""]",True,"[""Chromite""]",8,17,19,15,"[""CHROMITE"",""Chromite""]",1
35,Lead,False,"[""lead""]","[""Pb""]","[""galena (PbS)""]","[""lead-acid batteries"",""radiation shielding""]",True,"[""Lead & Zinc Ore""]",15,59,22,16,"[""Lead Zinc Ore""]",1
36,Zinc,False,"[""zinc""]","[""Zn""]","[""sphalerite (ZnS)""]","[""galvanizing"",""alloys"",""batteries""]",True,"[""Lead & Zinc Ore""]",15,59,22,16,"[""Lead Zinc Ore""]",1
37,Gold,False,"[""gold""]","[""Au""]","[""native gold""]","[""electronics"",""investment"",""jewellery""]",True,"[""Gold""]",13,32,11,10,"[""Gold""]",3
38,Silver,False,"[""silver""]","[""Ag""]","[""native silver"",""argentite (Ag2S)""]","[""solar cells"",""electronics"",""jewellery""]",True,"[""Silver""]",12,26,0,0,[],0
39,Uranium,False,"[""uranium""]","[""U""]","[""uraninite (UO2)""]","[""nuclear energy""]",False,[],0,0,0,0,[],0
40,Thorium,False,"[""thorium""]","[""Th""]","[""monazite-associated thorium""]","[""potential nuclear fuel"",""specialty alloys""]",False,[],0,0,0,0,[],0
41,Coal,False,[],[],"[""bituminous coal"",""sub-bituminous coal""]","[""energy"",""coke"",""chemical feedstock""]",False,[],0,0,0,0,[],0
42,Lignite,False,[],[],"[""brown coal""]","[""energy"",""chemical feedstock""]",False,[],0,0,1,1,[],1
43,Petroleum,False,[],[],"[""crude oil"",""natural bitumen""]","[""energy"",""plastics and petrochemical feedstock""]",False,[],0,0,0,0,[],0
44,Natural gas,False,"[""methane""]","[""CH4""]","[""natural gas""]","[""energy"",""hydrogen"",""plastics and chemical feedstock""]",False,[],0,0,0,0,[],0
45,Boron,False,"[""boron""]","[""B""]","[""borates""]","[""glass"",""detergents"",""magnets""]",True,"[""Borax""]",1,3,0,0,[],0
46,Fluorine,False,"[""fluorine"",""calcium fluoride""]","[""F"",""CaF2""]","[""fluorite (CaF2)""]","[""fluorochemicals"",""aluminium smelting"",""polymers""]",True,"[""Fluorite""]",4,9,2,2,"[""Fluorite""]",2
47,Magnesium,False,"[""magnesium"",""magnesium carbonate""]","[""Mg"",""MgCO3""]","[""magnesite (MgCO3)"",""dolomite (CaMg(CO3)2)""]","[""light alloys"",""refractories"",""chemicals""]",True,"[""Magnesite""]",8,17,36,35,"[""Iron & Dolomite"",""LS & Dolo"",""Limestone & Dolomite"",""Limestone and Dolomite"",""MAGNESITE"",""Magnesite"",""Mica,Feldspar,Quartz & Vermiculite"",""Quartz, Kynite, Vermiculite, Mica"",""VERMICULITE"",""Vermiculite,Mica,Feldspar & Quartz"",""Vermuculite""]",8
48,Barium,False,"[""barium"",""barium sulfate""]","[""Ba"",""BaSO4""]","[""barite (BaSO4)""]","[""drilling fluids"",""fillers"",""chemicals""]",False,[],0,0,0,0,[],0
49,Calcium and limestone,False,"[""calcium"",""calcium carbonate""]","[""Ca"",""CaCO3""]","[""limestone (CaCO3)"",""calcite (CaCO3)""]","[""cement"",""steelmaking"",""plastics filler""]",True,"[""Limestone"",""Marl""]",27,49,836,742,"[""Iron & Dolomite"",""LIMESTONE"",""LS & Dolo"",""LimeStone"",""Limeshell"",""Limestone"",""Limestone & Dolomite"",""Limestone & Shale"",""Limestone and Dolomite"",""Limestone and Sandstone"",""Limstone"",""Lst & Dol"",""Selenite"",""Wollastonite""]",14
50,Kaolin,False,"[""kaolinite"",""aluminium silicate hydroxide""]","[""Al2Si2O5(OH)4""]","[""kaolinite clay""]","[""ceramics"",""paper"",""paint"",""plastics filler""]",False,[],0,0,0,0,[],0
